day,RM_daily,rf_daily,RM_RF_daily,SMB_ew,HML_ew,MOM_ew,SMB_vw,HML_vw,MOM_vw
18aug1983,.00091273052,.00030694445,.0006057861,-.012391206,.0037145284,.0097519448,-.002553829,-.0059828768,.004647193
19aug1983,.00018652463,.00030694445,-.00012041982,.0044754613,-.0029226108,.0026807033,.0033827745,-.0056703119,.0045208284
22aug1983,-.0079776216,.00030694445,-.008284566,.0028703562,-.0074101971,-.00069854723,.0010936316,-.010323917,.00088795403
23aug1983,-.016062664,.00030694445,-.016369609,.012505188,-.0031125084,.0076180976,.012165348,-.0034308136,.0041834479
24aug1983,-.0083853435,.00030833334,-.0086936764,-.0044509959,-.0035395224,.012945923,-.00085753947,.001565546,.0066860472
25aug1983,.0076855561,.00030833334,.0073772226,-.001826167,.0025584209,-.007044048,.0055543501,.0075446074,-.0039393064
26aug1983,.012152114,.00030833334,.011843781,-.018671729,.038292553,-.043677527,-.014062584,.030230902,-.032614514
29aug1983,.014504009,.00030833334,.014195676,.0093151461,-.028433276,.016221002,-.0076913629,-.019778356,.019502562
30aug1983,.0088552339,.00030833334,.0085469009,-.0088520227,.0062535526,-.0027710348,-.0081785442,-.006508627,.0012691868
31aug1983,.0025225077,.00030694445,.0022155633,-.0016880624,-.008147778,.0076348414,.0074373842,-.0020511975,.0010794075
01sep1983,.011721627,.00030694445,.011414682,.011213962,-.013677972,.0013753637,.0038310324,-.0024093664,.0020088288
02sep1983,.01122187,.00030694445,.010914925,-.0023911048,-.036426626,.029547548,-.01633735,-.048822995,.032864049
05sep1983,.0050187954,.00030694445,.004711851,-.0076547428,.0033980086,-.012981573,-.0019120434,-.0012078886,-.0099542961
06sep1983,-.0037403258,.00030694445,-.0040472704,.011479583,.0037304142,.007812385,.013437212,-.00064407371,.003521557
07sep1983,-.0028557165,.00030833334,-.0031640499,.014476569,-.0071301847,-.0023893432,.015775131,-.010867612,-.0032597985
