day,yw,RM_weekly,rf_weekly,RM_RF_weekly,SMB_ew,HML_ew,MOM_ew,SMB_vw,HML_vw,MOM_vw
10sep1985,1985w37,-.022854678,.0031033333,-.025958011,.0073778336,-.0013702693,-.0065861861,.0081615988,-.0035028635,-.0037768458
17sep1985,1985w38,.0089805825,.0029030556,.0060775271,.015852883,.028153909,.032001041,-.0018161419,.0058721281,.02098687
24sep1985,1985w39,-.008594485,.002926389,-.011520874,-.0060774228,-.0021603103,-.00091892574,.0031310935,.004626642,.00091867102
01oct1985,1985w40,.0026249613,.0029652778,-.00034031644,-.0010841828,.0044221398,.0031282839,.00085649744,.0039526913,.0035633135
08oct1985,1985w41,-.016478561,.0029652778,-.019443838,.010840642,-.017499017,.010720836,.012982861,-.018666999,.012634302
15oct1985,1985w42,.035656765,.0029458334,.032710932,-.015635099,.0034778852,-.0077386531,-.024216838,.0076624388,.0055785123
22oct1985,1985w43,.019957665,.0029458334,.017011832,.0045966436,.014779096,.00022379053,.0018301046,.026981512,.0085765403
29oct1985,1985w44,.023188345,.0028194445,.0203689,-.019846437,.0061023436,-.002119048,-.018056449,-.0052522183,.012451026
05nov1985,1985w45,.019992962,.0027066667,.017286295,-.034954414,-.049219504,.012702665,-.052156013,-.042269934,.020032424
12nov1985,1985w46,.010652761,.0026541667,.0079985941,.0075904024,.0076433304,-.0061646961,.006619296,-.0006464005,-.010720823
19nov1985,1985w47,.034110986,.0025180555,.031592932,-.016512316,-.0058913389,.0022636005,-.031857248,.0051372563,.0069937212
26nov1985,1985w48,.018579999,.0025083332,.016071666,-.035525221,.022470562,.020605052,-.038800228,.025302015,.02197909
03dec1985,1985w49,.0081007928,.0025044444,.0055963481,.032443821,.0037154797,.013410654,.036468126,.0048499014,.022181211
10dec1985,1985w50,.081264533,.0024461111,.078818426,-.041961774,.010448742,.0057027368,-.048235025,.034525003,.0038327854
17dec1985,1985w51,-.025722628,.0024986111,-.02822124,.0083780922,-.0087138936,.010635311,.012355149,-.012212089,-.000048368238
24dec1985,1985w52,.022650585,.0028733334,.019777251,-.0043502902,.0029278602,-.0048791273,.0039879237,-.0092881648,.0081314556
01jan1986,1986w1,.084155291,.0024597221,.081695572,.0017820167,.04429381,.0053075859,.036736466,.13569424,.024499949
08jan1986,1986w2,-.028960872,.00245,-.031410873,.033827893,.0054364884,-.020032654,.038720444,.00092051609,-.015289908
15jan1986,1986w3,-.02877434,.0027222221,-.031496562,.0038178924,-.0026327642,.0064152679,.0059524756,-.0079786554,.0093701882
22jan1986,1986w4,.007964571,.002625,.0053395713,-.0063606179,-.0096634049,-.018420445,-.0149837,-.0013765806,-.017278813
29jan1986,1986w5,-.0042573484,.0023236112,-.0065809595,.011068793,.0097724255,.014957132,.0073597548,.0093572568,.0066215117
05feb1986,1986w6,.068340406,.0020844445,.066255964,-.041260954,-.0032069536,-.018673232,-.054822568,-.00031086791,-.03586106
